,capacity,lon,lat,borough
0,20,2.334742918610573,48.8566039745635,75006
1,21,2.3373600840568547,48.87929591733507,75009
2,60,2.3661431,48.8712121,75010
3,45,2.343670316040516,48.85151881501689,75005
4,30,2.3875549435615544,48.84085531176338,75012
6,48,2.37289470306807,48.8570414504784,75011
7,19,2.329337755887181,48.84479928858768,75006
8,21,2.327861653302471,48.82234096593411,75014
9,44,2.381133802246315,48.89594736851349,75019
10,44,2.327339,48.877753,75009
11,22,2.3185685276985173,48.85909110474066,75007
12,19,2.3097044974565506,48.85141997898257,75007
13,24,2.351464,48.880726,75010
14,23,2.3230632,48.8978765,75017
15,14,2.364044,48.842524,75013
16,39,2.3464982619671075,48.84702057165222,75005
17,60,2.3930427432060246,48.88889440160639,75019
18,19,2.3654810339212418,48.86683096894219,75011
19,27,2.3860743641853337,48.877436681515796,75019
21,58,2.302549182385926,48.86492098253841,75008
22,15,2.356796,48.874575,75010
23,33,2.389613136684456,48.859358523592554,75020
25,35,2.3204218259345537,48.84856323305935,75007
27,45,2.381299026310444,48.86112461407359,75011
28,59,2.384273745805574,48.82837482809675,75013
29,28,2.290781411279206,48.88561741628322,75017
31,42,2.282015,48.883498,75017
33,22,2.356855627529275,48.88611466796807,75018
34,38,2.28189,48.863875,75116
35,30,2.3527636751532555,48.88042350842878,75010
36,53,2.371508963406086,48.869014792057236,75011
39,19,2.343099,48.8465255,75005
40,58,2.3678933,48.868397,75011
41,36,2.3561610281467438,48.888537048944826,75018
44,63,2.3828620836138725,48.85337548425958,75011
45,21,2.373759595522922,48.888013281448345,75019
47,58,2.314389310777188,48.89415563341899,75017
48,34,2.314494143994255,48.88713901475306,75017
49,27,2.386150136590004,48.89835196548483,75019
50,23,2.319392143923804,48.83617286014242,75014
51,16,2.371074522980134,48.88339733854529,75019
52,60,2.389147640809553,48.85288867036487,75011
54,33,2.2608396783471107,48.8479394142243,75016
57,56,2.38965779542923,48.8388110488154,75012
58,25,2.3967273,48.8701796,75020
59,30,2.314002,48.882428,75017
60,31,2.300407290458679,48.85810288510693,75007
61,37,2.3640366643667217,48.844182577315166,75005
62,21,2.384981390278095,48.87195626635528,75020
63,63,2.3600032,48.8685433,75010
65,29,2.3161920905113225,48.8477924732952,75007
66,36,2.3226776719093327,48.89587780769155,75017
67,19,2.363468,48.841836,75013
68,40,2.3445510864257812,48.892939296937605,75018
